Timestamp,Velocity,Extension
1782055296.4364116,1594.3060131251505,216.32923268495753
1782055296.5336576,1424.723445085213,191.51585127362827
1782055296.6293182,2144.5349095602237,253.67769328483044
1782055296.7411063,1528.7638945245685,114.87910701479022
1782055296.8368087,1681.066872885107,220.38416498419585
1782055297.0288298,1463.4073455120804,139.23262416837693
1782055297.141286,1201.8392975604497,225.12192796372315
1782055297.2367444,981.6628855347403,181.20951325830688
1782055297.4294426,666.1971330281959,272.9421839712865
1782055297.5407667,1914.1570038761708,118.49611428887658
1782055297.7334757,541.319509679336,222.66130257425178
